id,aircraft.id,maintenanceType,startDate,endDate,description,workOrder.id,supplierName,technician
9441429f-5ed0-4c60-8eb9-c207524c94b4,AIRCRAFT-48,UNSCHEDULED,2026-08-11,2026-08-12,Conducted periodic system functional tests,WORK-ORDER-5645,TitanAir Logistics,Sarah Chen
9442d5d4-7a7d-4f0e-814f-499037167635,AIRCRAFT-458,SCHEDULED,2026-12-29,2026-12-29,Replaced worn turbine blades,WORK-ORDER-11674,AeroTech Solutions,James Rodriguez
9444fac0-6a45-4f53-bcbe-e66109928523,AIRCRAFT-473,EMERGENCY,2026-12-03,2026-12-04,Replaced leaking hydraulic line,WORK-ORDER-10738,SkyMaster Maintenance Corp,Robert Martinez
94467462-3e8b-429c-8338-4924a349042e,AIRCRAFT-49,EMERGENCY,2026-07-28,2026-07-29,Inspected exterior for hail damage,WORK-ORDER-4985,AeroTech Solutions,Emily Davis
944695c7-8979-42c8-9459-d7604c985470,AIRCRAFT-479,UNSCHEDULED,2026-10-03,2026-10-05,Replaced damaged tire,WORK-ORDER-7924,Premier Flight Services,James Rodriguez
944b0d42-d4f5-40ad-b808-f849ff8511e1,AIRCRAFT-85,SCHEDULED,2026-10-29,2026-10-29,Replaced worn brake pads,WORK-ORDER-9137,Apex Aircraft Support,Jennifer Kim
944bb851-8d59-4338-ba1a-7cec3a953ae1,AIRCRAFT-188,SCHEDULED,2026-12-04,2026-12-04,Replaced engine oil and filter,WORK-ORDER-10756,Horizon Aviation Systems,David Anderson
944ed5bf-63df-406f-8afe-37adc4f2ae25,AIRCRAFT-308,SCHEDULED,2026-11-20,2026-11-21,Inspected combustion chamber for cracks,WORK-ORDER-10116,TitanAir Logistics,Robert Martinez
944f6b6a-42c4-44bb-8b8d-b35d2b76c4a9,AIRCRAFT-280,UNSCHEDULED,2026-10-05,2026-10-07,Finished pending electrical system checks,WORK-ORDER-7968,TitanAir Logistics,James Rodriguez
94504617-8b68-4f5d-be7f-08d63f218c89,AIRCRAFT-59,EMERGENCY,2026-08-19,2026-08-20,Recalibrated inertial navigation system,WORK-ORDER-6088,TitanAir Logistics,Emily Davis
94513e3b-b453-4de6-bbb0-947cd9e4971a,AIRCRAFT-31,EMERGENCY,2026-03-31,2026-04-01,Filled main fuel tanks to capacity,WORK-ORDER-14169,Apex Aircraft Support,Michael Thompson
945192bc-f495-448a-bba5-deba7d62a7ca,AIRCRAFT-491,SCHEDULED,2027-01-26,2027-01-27,Repaired antenna connection,WORK-ORDER-12982,TitanAir Logistics,Jennifer Kim
9451a8e9-d2b3-4b35-b6c0-56315caa9928,AIRCRAFT-176,SCHEDULED,2026-12-12,2026-12-12,Updated navigation software to latest version,WORK-ORDER-11034,AeroTech Solutions,Sarah Chen
9453acc2-766a-4656-b0e2-5900d391b86f,AIRCRAFT-393,SCHEDULED,2026-02-18,2026-02-18,Executed deferred structural inspection,WORK-ORDER-4615,Precision Aviation Services,Sarah Chen
945439c5-10f8-4a0a-817d-61ee3a2e8eea,AIRCRAFT-45,UNSCHEDULED,2026-05-26,2026-05-26,Filled main fuel tanks to capacity,WORK-ORDER-2287,Horizon Aviation Systems,Robert Martinez
9454774a-fc43-404e-aaf0-c59ad3109b21,AIRCRAFT-228,SCHEDULED,2026-11-16,2026-11-16,Completed postponed engine run-up test,WORK-ORDER-9901,TitanAir Logistics,Michael Thompson
9455bca3-7c49-4579-92dc-07fc24944f7c,AIRCRAFT-441,SCHEDULED,2026-07-31,2026-07-31,Performed thorough cabin security sweep,WORK-ORDER-5227,Horizon Aviation Systems,James Rodriguez
9456a994-ce38-4693-93ca-8da55d80407d,AIRCRAFT-382,EMERGENCY,2026-05-05,2026-05-05,Completed postponed engine run-up test,WORK-ORDER-1482,Premier Flight Services,Robert Martinez
9456d76b-4bbd-409a-a041-38546faff264,AIRCRAFT-296,EMERGENCY,2026-02-09,2026-02-10,Replaced leaking hydraulic line,WORK-ORDER-711,Precision Aviation Services,Sarah Chen
9457bbbe-5943-4fd8-83da-573eea9da2b5,AIRCRAFT-161,SCHEDULED,2026-06-14,2026-06-15,Replaced landing gear actuator seal,WORK-ORDER-3144,Premier Flight Services,James Rodriguez
945912ad-047e-4dbb-8473-a9f260101f1b,AIRCRAFT-153,SCHEDULED,2026-09-16,2026-09-16,Replaced worn turbine blades,WORK-ORDER-7254,TitanAir Logistics,Emily Davis
94597ee8-367d-408d-af1d-ad5acbd6e417,AIRCRAFT-80,UNSCHEDULED,2026-08-25,2026-08-26,Completed postponed engine run-up test,WORK-ORDER-6299,Premier Flight Services,Michael Thompson
945c6007-aafe-4f60-96eb-f92a83b1fdf5,AIRCRAFT-316,UNSCHEDULED,2026-11-15,2026-11-16,Executed 50-hour maintenance checklist,WORK-ORDER-9862,Precision Aviation Services,Emily Davis
94604fa8-63e9-41e1-890a-f9cc4ef00e6e,AIRCRAFT-111,EMERGENCY,2026-08-20,2026-08-20,Replaced engine oil and filter,WORK-ORDER-6107,Apex Aircraft Support,David Anderson
9460f318-c31b-44a5-8eea-ceb5436af3d7,AIRCRAFT-275,UNSCHEDULED,2026-05-21,2026-05-21,Completed postponed engine run-up test,WORK-ORDER-2141,SkyMaster Maintenance Corp,Sarah Chen
9461a23f-b56c-44f7-94f9-80dec1a4fa23,AIRCRAFT-154,SCHEDULED,2027-01-19,2027-01-20,Completed routine pre-flight inspection,WORK-ORDER-12739,Premier Flight Services,Michael Thompson
946255da-d5f5-4b25-9cc8-0454263f1d91,AIRCRAFT-180,UNSCHEDULED,2026-11-09,2026-11-10,Repaired antenna cable connection,WORK-ORDER-9677,Precision Aviation Services,David Anderson
94635077-c401-40ba-a376-2a5b5bc2cacb,AIRCRAFT-375,UNSCHEDULED,2026-11-10,2026-11-12,Calibrated fuel quantity indicators,WORK-ORDER-9772,Precision Aviation Services,Emily Davis
946603e5-5065-4f83-8182-ddd4f18c1691,AIRCRAFT-338,SCHEDULED,2026-05-03,2026-05-03,Topped off hydraulic fluid reservoir,WORK-ORDER-1379,Apex Aircraft Support,Michael Thompson
9468c910-8fbb-487c-8a61-c6aeb75e1fb8,AIRCRAFT-26,SCHEDULED,2026-05-24,2026-05-25,Conducted periodic system functional tests,WORK-ORDER-2308,Horizon Aviation Systems,James Rodriguez
94699342-bdc5-4095-8bc8-01e25929e9b4,AIRCRAFT-76,UNSCHEDULED,2026-02-07,2026-02-07,Examined control surfaces for wind damage,WORK-ORDER-653,Premier Flight Services,Emily Davis
946d9efa-fe99-4a4f-ad8b-0e80c478edaf,AIRCRAFT-304,EMERGENCY,2026-04-27,2026-04-28,Cleaned fuel injectors and filters,WORK-ORDER-1030,Horizon Aviation Systems,Robert Martinez
946e7aa8-545f-4e7d-a3f1-686d57fef0eb,AIRCRAFT-399,UNSCHEDULED,2026-10-14,2026-10-15,Examined control surfaces for wind damage,WORK-ORDER-8246,Apex Aircraft Support,Michael Thompson
946f2908-b768-4431-b359-ed3376b4b956,AIRCRAFT-321,EMERGENCY,2026-03-16,2026-03-17,Inspected fuel lines for leaks,WORK-ORDER-13530,SkyMaster Maintenance Corp,Robert Martinez
94716f03-6cf5-4a79-a911-c9b7243dd4a5,AIRCRAFT-390,UNSCHEDULED,2026-12-24,2026-12-26,Verified fuel quality and contamination check,WORK-ORDER-11596,Premier Flight Services,Michael Thompson
9471d80e-6130-4539-b030-0e0644cecfd0,AIRCRAFT-122,EMERGENCY,2026-12-21,2026-12-22,Performed overdue avionics system test,WORK-ORDER-11452,Precision Aviation Services,David Anderson
9471e3bc-3938-4b57-ba57-f146005977c6,AIRCRAFT-176,EMERGENCY,2026-07-02,2026-07-02,Replaced radio transceiver unit,WORK-ORDER-3951,Apex Aircraft Support,Sarah Chen
9473b676-e793-47d5-99b2-557f2ce5a92c,AIRCRAFT-263,UNSCHEDULED,2026-10-15,2026-10-16,Performed scheduled lubrication service,WORK-ORDER-8550,SkyMaster Maintenance Corp,Jennifer Kim
9474c7be-78e9-4b01-9a47-dc36bef22703,AIRCRAFT-154,EMERGENCY,2026-08-26,2026-08-27,Executed deferred structural inspection,WORK-ORDER-6386,AeroTech Solutions,James Rodriguez
9477dc09-9b0c-461c-bb11-dd8d7a3864b1,AIRCRAFT-324,EMERGENCY,2026-04-26,2026-04-29,Checked security seals on sensitive equipment,WORK-ORDER-932,AeroTech Solutions,David Anderson
9479d5e0-82e4-43f5-8aef-37980c2d2aa8,AIRCRAFT-238,SCHEDULED,2026-12-17,2026-12-17,Cleaned and tested headset jacks,WORK-ORDER-11221,Precision Aviation Services,Robert Martinez
947b6384-0b08-4757-8c82-876815a0eb23,AIRCRAFT-388,EMERGENCY,2026-05-25,2026-05-26,Repaired antenna connection,WORK-ORDER-2299,TitanAir Logistics,David Anderson
